loss_train,loss_val
,
4306469.959899129,249143.41297468354
129948.23290397547,61745.44516416139
33800.60297480716,15788.94842761076
8161.893951802314,3570.7222266861154
2186.536184383344,1462.4167789507517
1339.3429358760013,1271.5771986562995
1273.2171582572068,1253.082076833218
1269.927101328403,1245.912669507763
1268.458811313291,1255.5081323551226
1271.6825770124603,1268.9662143369264
1265.2343334729158,1304.8552037492584
1273.311367952371,1238.6481531843353
1263.5818469856358,1247.2882852675039
1268.1813143959528,1295.1667063266416
1265.8798804947094,1244.0058748269382
1276.2068323062945,1260.5048410922666
1268.6433655944052,1238.085458489913
1275.9361460239072,1347.5832218218454
1264.3316395433644,1218.4940564119363
1262.235126929947,1213.9208234955993
1246.368876976303,1217.7378061028976
1255.6402740478516,1221.4300645272942
1256.0045628608027,1224.6127272980123
1257.7746780974956,1201.270473045639
1242.7764336308346,1187.0141647918315
1246.093183879611,1368.0118624530262
1249.6163354221778,1175.6867119511471
1220.9998958925657,1176.5855249332476
1219.3065005918093,1157.4685908450356
1200.2590003677562,1265.7783767120748
1203.1016830251187,1163.8578746167918
1210.1400780013844,1285.847483188291
1200.6647187245044,1130.1287053748022
1170.0473736147337,1119.4395728775219
1176.5124042366124,1107.7941786367683
1173.406914819645,1145.6081295737738
1152.2507606216625,1312.751780063291
1141.3248358617855,1091.9704188093353
1135.7601573316356,1077.3789835096914
1116.250133176393,1127.728833162332
1102.1072576981558,1086.5012894642505
1075.0539841470838,1051.8765034735957
1056.1140890000743,1097.0217455127572
1042.869732047938,999.6739432419403
1027.4129039909267,978.3337684341624
994.343029360228,1408.2597849399228
958.4933719876447,1182.2561707315565
956.2651591240606,926.4529125358484
935.0498294106013,876.0314315602749
898.3632067909724,888.8777110425732
860.783931297592,800.4291192549694
811.4951048259494,794.1701953743078
788.1633025543599,784.4549301726909
762.4677782662308,713.3901853923556
721.0379041840758,739.4457888059978
701.1685920425608,645.9361108707476
686.6318837419341,777.120438201518
639.2407197107243,801.7607070343404
635.2480868568904,634.5441145112243
626.1007173272628,610.5794210313242
615.5387668851056,688.6078738441951
600.5118084195294,625.3450572339794
583.9315970215616,560.6880612916584
587.8316643147529,548.9511805667153
573.3031138166597,553.0077800509296
565.1947744828236,550.678905245624
570.9661237982255,538.3852168215981
576.8279509242577,542.2074440099016
561.4119406591487,554.3099689725079
552.4135475158691,555.5347711104381
563.080813540688,520.1994851027863
570.6782440475271,587.8445083038716
558.009296368949,556.2567372382441
545.9175965997238,524.3851967340784
563.5609379056134,545.340896413296
560.1179825022251,536.2112998479529
535.9824812683878,519.5509398255167
548.5682489902158,527.3087003683742
541.9845722053625,525.8996622592588
551.446523449089,563.7953000611897
547.5933501328094,516.6176587841179
544.7023120348966,507.1650676485858
546.433432615256,530.5590874394284
533.29188764548,510.5949807468849
536.0847828539112,515.8068076990828
547.3784325515168,515.5298689830153
530.7957211747954,506.41368643845186
564.3238370388369,527.2735039433346
530.1109799735153,504.66815204861797
535.9460065334658,686.9010612391219
534.3039401090598,574.9401921139488
539.7641922673092,518.7193850746638
532.6176367651058,534.857738639735
544.0635212282591,517.5255870577655
531.7549987020371,525.5945527281942
539.5413063145891,519.6982680694966
548.3279501033735,523.4691237437575
529.2658309936523,506.99465671973894
539.8484870331197,516.9248469871811
535.8663300622868,530.1778668753708
